Id,Recipe Page,Title,PDF,Vimeo Link,Thumbnail,,
2716,https://savourschool.com.au/onlineclasses/antonio-bachours-lemon-basil-tart/,Antonio Bachour's Lemon Basil Tart,https://savourschool.com.au/online-clasess-pdf/?id=2716,https://player.vimeo.com/video/221832051?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Lemon-Basil-tart.png,,
2717,https://savourschool.com.au/onlineclasses/frank-haasnoots-modelling-chocolate/,Frank Haasnoot's 'Modelling Chocolate',https://savourschool.com.au/online-clasess-pdf/?id=2717,https://player.vimeo.com/video/187753297?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Modelling-Chocolate.png,,
2718,https://savourschool.com.au/onlineclasses/chocolate-stones/,Chocolate Stones,https://savourschool.com.au/online-clasess-pdf/?id=2718,https://player.vimeo.com/video/133935332?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Chocolate-Stones.png,,
2719,https://savourschool.com.au/onlineclasses/pineapple-chocolates/,Pineapple Chocolates,https://savourschool.com.au/online-clasess-pdf/?id=2719,https://player.vimeo.com/video/158400456?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Pineapple-chocolates-web-image.jpg,,
2720,https://savourschool.com.au/onlineclasses/frank-haasnoots-splash/,Frank Haasnoot's 'Splash',https://savourschool.com.au/online-clasess-pdf/?id=2720,https://player.vimeo.com/video/194895491?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2018/05/Sequence-02.00_01_40_17.Still005.jpg,,
2721,https://savourschool.com.au/onlineclasses/coffee-cream-tart/,Coffee Cream Tart,https://savourschool.com.au/online-clasess-pdf/?id=2721,https://player.vimeo.com/video/219948790?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Coffee-Cream-Tart.png,,
2722,https://savourschool.com.au/onlineclasses/florentines/,Florentines,https://savourschool.com.au/online-clasess-pdf/?id=2722,https://player.vimeo.com/video/105212648?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Florentines.png,,
2723,https://savourschool.com.au/onlineclasses/jordi-bordas-madarin-petit-gateaux/,Jordi Bordas' 'Mandarin Petit Gateaux',https://savourschool.com.au/online-clasess-pdf/?id=2723,https://player.vimeo.com/video/174144019?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Jordi-Mandarin.png,,
2724,https://savourschool.com.au/onlineclasses/new-technique-for-style-rebellion/,New Technique For Style Rebellion,https://savourschool.com.au/online-clasess-pdf/?id=2724,https://player.vimeo.com/video/157514641?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/style-rebellion-new-technique-web-image.jpg,,
2725,https://savourschool.com.au/onlineclasses/paul-kennedys-spider-glaze/,Paul Kennedy's 'Spider Glaze',https://savourschool.com.au/online-clasess-pdf/?id=2725,https://player.vimeo.com/video/154516472?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Paul-Kennedys-Spider-Glaze-web-image.jpg,,
2726,https://savourschool.com.au/onlineclasses/piping/,Piping,https://savourschool.com.au/online-clasess-pdf/?id=2726,https://player.vimeo.com/video/214111776?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Piping-.png,,
2727,https://savourschool.com.au/onlineclasses/chocolate-piping/,Chocolate Piping,https://savourschool.com.au/online-clasess-pdf/?id=2727,https://player.vimeo.com/video/214112425?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Chocolate-Piping.png,,
2728,https://savourschool.com.au/onlineclasses/spotted-chocolate-spheres/,Speckled Chocolate Spheres,https://savourschool.com.au/online-clasess-pdf/?id=2728,https://player.vimeo.com/video/132298198?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Speckled-Chocolate-spheres.png,,
2729,https://savourschool.com.au/onlineclasses/frank-haasnoots-formosa-garnish/,Frank Haasnoot's 'Formosa' Garnish,https://savourschool.com.au/online-clasess-pdf/?id=2729,https://player.vimeo.com/video/125876476?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/07/Formosa-Garnish-website-700x800-image.jpg,,
2730,https://savourschool.com.au/onlineclasses/candys-peony-rose/,Candy's Peony Rose,https://savourschool.com.au/online-clasess-pdf/?id=2730,https://player.vimeo.com/video/325343542?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2019/08/Candys-peony-Rose.png,,
2731,https://savourschool.com.au/onlineclasses/frank-haasnoots-chocolate-collar/,Frank Haasnoot's Chocolate Collar,https://savourschool.com.au/online-clasess-pdf/?id=2731,https://player.vimeo.com/video/198613425?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2018/08/Frank-image-2.jpg,,
2732,https://savourschool.com.au/onlineclasses/butterscotch-sauce/,Butterscotch Sauce,https://savourschool.com.au/online-clasess-pdf/?id=2732,https://player.vimeo.com/video/196804444?dnt=0&app_id=122963&autoplay=0&loop=0&portrait=0&badge=0&byline=0&player_id=vimeo_video_single,https://savourschool.com.au/wp-content/uploads/2018/08/2W3A2922-1.jpg,,
